# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
,260,         5.180,       52.100,       1.90,  DE BILT
,380,         5.762,       50.906,     114.30,  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,19631208,   -2,  -28,   43
  260,19631209,  -31,  -47,   -9
  260,19631210,  -34,  -39,  -28
  260,19631211,  -20,  -39,   -5
  260,19631212,  -14,  -50,    9
  260,19631213,   -3,  -29,   13
  260,19631214,  -38, -103,  -14
  260,19631215,  -64, -120,   -7
  260,19631216,  -25,  -39,  -10
  260,19631217,  -28,  -72,   -6
  260,19631218,   -3,  -13,    3
  260,19631219,  -18,  -86,   26
  260,19631220,  -62, -115,  -29
  260,19631221,  -14,  -29,   -6
  260,19631222,  -10,  -52,    1
  260,19631223,  -69,  -90,  -36
  260,19631224,  -74, -107,  -38
  260,19631225,  -22,  -82,   33
  260,19631226,   33,   13,   41
  260,19631227,    9,   -1,   21
  260,19631228,   30,   12,   40
  260,19631229,    7,  -11,   27
  260,19631230,   30,   16,   42
  260,19631231,   22,   11,   36
  380,19630101,  -46,  -53,  -38
  380,19630102,  -35,  -60,  -15
  380,19630103,   -6,  -21,    4
  380,19630104,   20,    3,   33
  380,19630105,   11,  -12,   29
  380,19630106,   -5,  -29,    8
  380,19630107,  -31,  -40,  -25
  380,19630108,  -20,  -29,  -12
  380,19630109,  -65, -104,  -25
  380,19630110, -101, -124,  -79
  380,19630111, -104, -128,  -70
  380,19630112, -104, -126,  -77
  380,19630113,  -94, -146,  -47
  380,19630114,  -30,  -87,   16
  380,19630115,  -38,  -64,   -9
  380,19630116,  -52,  -88,   -9
  380,19630117, -107, -135,  -61
  380,19630118, -138, -180, -104
  380,19630119,  -89, -135,  -52
  380,19630120,  -61,  -86,  -31
  380,19630121,  -84, -111,  -49
  380,19630122,  -91, -137,  -53
  380,19630123,  -46,  -65,  -25
  380,19630124,  -38,  -50,   -4
  380,19630125,  -55, -103,  -27
  380,19630126,  -20,  -50,   11
  380,19630127,  -36,  -71,   -9
  380,19630128,  -31,  -95,   -1
  380,19630129,  -24,  -40,   -9
  380,19630130,  -65,  -98,  -40
  380,19630131, -103, -143,  -79
  380,19630201,  -80, -108,  -52
  380,19630202,  -90, -132,  -54
  380,19630203,  -63,  -87,  -41
  380,19630204,  -53,  -87,  -41
  380,19630205,  -53, -102,   -9
  380,19630206,  -77, -136,  -20
  380,19630207,   -4,  -65,   41
  380,19630208,   36,   19,   72
  380,19630209,   12,   -3,   28
  380,19630210,   -1,  -15,   20
  380,19630211,   11,    2,   32
  380,19630212,   -6,  -12,    2
  380,19630213,  -20,  -51,   -5
  380,19630214,  -16,  -54,   15
  380,19630215,  -24,  -82,    7
  380,19630216,    6,  -18,   24
  380,19630217,  -23,  -31,  -11
  380,19630218,  -24,  -35,  -10
  380,19630219,  -47,  -77,  -22
  380,19630220,  -48,  -81,  -26
  380,19630221,  -56, -105,  -29
  380,19630222,  -81, -144,  -31
  380,19630223,  -58,  -84,  -13
  380,19630224,  -84, -148,  -21
  380,19630225,  -70, -147,  -12
  380,19630226,  -39,  -90,   15
  380,19630227,  -23,  -66,   16
  380,19630228,  -26,  -75,   17
  380,19630301,  -20,  -75,   19
  380,19630302,   -7,  -62,   42
  380,19630303,   10,  -41,   67
  380,19630304,   36,  -23,  110
  380,19630305,   64,   13,  124
  380,19630306,   87,   58,  133
  380,19630307,   85,   63,  116
  380,19630308,   97,   45,  145
  380,19630309,   84,   59,  114
  380,19630310,   68,   48,  103
  380,19630311,   76,   37,  118
  380,19630312,   47,   23,   93
  380,19630313,   39,   18,   70
  380,19630314,   74,   40,  130
  380,19630315,   88,   37,  150
  380,19630316,   78,   52,  111
  380,19630317,   89,   46,  144
  380,19630318,   99,   77,  143
  380,19630319,   79,   59,  114
  380,19630320,   60,   31,  102
  380,19630321,   20,    3,   40
  380,19630322,    9,  -13,   33
  380,19630323,    6,  -37,   54
  380,19630324,   14,  -17,   51
  380,19630325,   48,    2,   85
  380,19630326,   52,   33,   67
  380,19630327,   61,   26,  111
  380,19630328,   55,   13,   94
  380,19630329,   55,   16,  110
  380,19630330,   58,   19,  106
  380,19630331,   34,   21,   46
  380,19630401,   25,   19,   34
  380,19630402,   45,   14,  102
  380,19630403,   54,   -1,  114
  380,19630404,   37,    1,   78
  380,19630405,   35,   -4,   66
  380,19630406,   87,   34,  144
  380,19630407,   87,   38,  141
  380,19630408,  112,   37,  187
  380,19630409,  114,   58,  162
  380,19630410,  113,   82,  136
  380,19630411,  119,   82,  164
  380,19630412,   88,   38,  114
  380,19630413,   61,   -5,  117
  380,19630414,   81,   20,  122
  380,19630415,  101,   83,  118
  380,19630416,  109,   83,  138
  380,19630417,  124,   84,  172
  380,19630418,  106,   63,  146
  380,19630419,  118,   35,  179
  380,19630420,  144,   63,  202
  380,19630421,  124,   99,  166
  380,19630422,  107,   64,  156
  380,19630423,  129,   64,  184
  380,19630424,  126,   85,  182
  380,19630425,   71,   60,   85
  380,19630426,   78,   47,  120
  380,19630427,   97,   19,  157
  380,19630428,  101,   86,  118
  380,19630429,  126,  106,  148
  380,19630430,  105,   60,  143
  380,19630501,   87,   48,  114
  380,19630502,   75,   33,  120
  380,19630503,   61,   27,  111
  380,19630504,   67,   31,  114
  380,19630505,  101,   42,  155
  380,19630506,   92,   48,  130
  380,19630507,  122,   34,  182
  380,19630508,  164,   71,  246
  380,19630509,  116,   87,  154
  380,19630510,   98,   46,  155
  380,19630511,   93,   76,  119
  380,19630512,  113,   46,  171
  380,19630513,  114,   81,  177
  380,19630514,  102,   73,  141
  380,19630515,   84,   62,  112
  380,19630516,  101,   61,  146
  380,19630517,  102,   56,  145
  380,19630518,  113,   58,  170
  380,19630519,   82,   50,  111
  380,19630520,  106,   50,  156
  380,19630521,  138,  110,  177
  380,19630522,  100,   88,  114
  380,19630523,  107,   82,  147
